Section,Room_Number,Capacity,Equipment,Resource_Availability,Specialty
C,13,4,"Infusion Pump, Oxygen Tank, Heart Monitor, Defibrillator",High,Pediatrics
C,14,3,"Electrocardiogram (ECG), Ventilator, Defibrillator",Medium,General
D,1,4,"Infusion Pump, Syringe Pump",High,Cardiology
D,2,4,Oxygen Tank,High,Trauma
D,3,4,IV Pump,Low,Trauma
D,4,2,"IV Pump, Infusion Pump, Oxygen Tank",Medium,Neurology
D,5,4,"Infusion Pump, Blood Pressure Monitor, Heart Monitor",Low,Pediatrics
D,6,1,"Ventilator, Infusion Pump, Pulse Oximeter, Electrocardiogram (ECG)",High,Neurology
D,7,1,"Pulse Oximeter, Oxygen Tank",High,General
D,8,4,Pulse Oximeter,High,Cardiology
D,9,1,"Heart Monitor, IV Pump, Electrocardiogram (ECG), Infusion Pump",High,General
D,10,1,Defibrillator,High,Cardiology
D,11,3,"IV Pump, Blood Pressure Monitor, Ventilator, Heart Monitor",Low,Neurology
D,12,3,Heart Monitor,Low,Neurology
E,1,4,"Pulse Oximeter, Infusion Pump, IV Pump, Oxygen Tank",High,General
E,2,3,"IV Pump, Oxygen Tank",Medium,Pediatrics
E,3,4,"Pulse Oximeter, Oxygen Tank",Medium,Neurology
E,4,3,"Defibrillator, Electrocardiogram (ECG), IV Pump, Infusion Pump",High,Trauma
E,5,3,"Infusion Pump, Pulse Oximeter, Defibrillator, Syringe Pump",Low,Trauma
E,6,1,Oxygen Tank,High,Neurology
E,7,1,"Pulse Oximeter, Oxygen Tank",Medium,Pediatrics
E,8,2,"Heart Monitor, Infusion Pump",Low,Pediatrics
E,9,3,"Pulse Oximeter, IV Pump, Electrocardiogram (ECG)",Low,Neurology
E,10,1,"Ventilator, Defibrillator, Syringe Pump",Medium,Cardiology
E,11,3,"Blood Pressure Monitor, Oxygen Tank",Medium,Cardiology
E,12,3,"Heart Monitor, Ventilator",High,General
E,13,2,"IV Pump, Ventilator, Infusion Pump, Defibrillator",Low,Trauma
E,14,3,Oxygen Tank,Low,Pediatrics
F,1,2,Infusion Pump,Low,Neurology
F,2,3,IV Pump,Medium,Cardiology
F,3,4,"IV Pump, Blood Pressure Monitor, Oxygen Tank",Low,Pediatrics
F,4,4,"Defibrillator, Heart Monitor, Syringe Pump, Electrocardiogram (ECG)",Medium,Neurology
F,5,4,"IV Pump, Syringe Pump, Oxygen Tank",Medium,Neurology
F,6,1,IV Pump,High,Neurology
F,7,2,"Pulse Oximeter, Infusion Pump",Medium,General
F,8,1,"Electrocardiogram (ECG), Pulse Oximeter, IV Pump",High,Cardiology
F,9,4,"Ventilator, Blood Pressure Monitor, Syringe Pump",Low,General
F,10,2,"Pulse Oximeter, Electrocardiogram (ECG), Oxygen Tank, Infusion Pump",Low,Pediatrics
